Instance,n,Algorithm,Solution Size,Time (s),Valid,Optimal,Optimal Found
medium_n25_08,25,Tabu Search,8,0.00419629699899815,True,8,True
medium_n25_09,25,Tabu Search,8,0.00417329500123742,True,8,True
medium_n25_10,25,Tabu Search,8,0.004353590000391705,True,8,True
medium_n30_01,30,Tabu Search,9,0.005841643998792279,True,10,False
medium_n30_02,30,Tabu Search,9,0.00576951699986239,True,9,True
medium_n30_03,30,Tabu Search,9,0.005759744999522809,True,9,True
medium_n30_04,30,Tabu Search,8,0.005462229999466217,True,9,False
medium_n30_05,30,Tabu Search,9,0.005430962000900763,True,10,False
medium_n30_06,30,Tabu Search,8,0.0057013469995581545,True,8,True
medium_n30_07,30,Tabu Search,10,0.00598800399893662,True,10,True
medium_n30_08,30,Tabu Search,8,0.005600667998805875,True,9,False
medium_n30_09,30,Tabu Search,7,0.005247928000244428,True,9,False
medium_n30_10,30,Tabu Search,8,0.005572731999563985,True,9,False
medium_n40_01,40,Tabu Search,10,0.008965655000793049,True,10,True
medium_n40_02,40,Tabu Search,9,0.00845828999990772,True,10,False
medium_n40_03,40,Tabu Search,9,0.008281613998406101,True,10,False
medium_n40_04,40,Tabu Search,9,0.008486317999995663,True,10,False
medium_n40_05,40,Tabu Search,11,0.00948107399926812,True,12,False
medium_n40_06,40,Tabu Search,9,0.008454400000118767,True,10,False
medium_n40_07,40,Tabu Search,9,0.00816258000122616,True,10,False
medium_n40_08,40,Tabu Search,8,0.008217864999096491,True,11,False
medium_n40_09,40,Tabu Search,7,0.0083957000006194,True,10,False
medium_n40_10,40,Tabu Search,10,0.010619184000461246,True,10,True
medium_n50_01,50,Tabu Search,12,0.014617377999456949,True,12,True
medium_n50_02,50,Tabu Search,10,0.012417736999850604,True,12,False
medium_n50_03,50,Tabu Search,11,0.012663043999054935,True,11,True
medium_n50_04,50,Tabu Search,11,0.012759495999489445,True,11,True
medium_n50_05,50,Tabu Search,11,0.011910483000974637,True,11,True
medium_n50_06,50,Tabu Search,9,0.011337521998939337,True,11,False
medium_n50_07,50,Tabu Search,12,0.012988952999876346,True,12,True
medium_n50_08,50,Tabu Search,12,0.013297783998496016,True,12,True
medium_n50_09,50,Tabu Search,11,0.012363286999971024,True,11,True
medium_n50_10,50,Tabu Search,10,0.012402427000779426,True,12,False
